product_id,product_name,category,sub_category,cost_price,list_price
P0059,箱包S-C8,服装鞋包,箱包,241.87,332.86
P0060,箱包Plus-A8,服装鞋包,箱包,280.29,420.54
P0061,零食Plus-A9,食品生鲜,零食,126.13,155.7
P0062,零食Lite-A4,食品生鲜,零食,46.57,55.41
P0063,零食Air-C9,食品生鲜,零食,77.06,90.44
P0064,零食Lite-A3,食品生鲜,零食,6.53,8.31
P0065,零食S-Y3,食品生鲜,零食,56.57,72.61
P0066,零食S-C4,食品生鲜,零食,58.11,72.1
P0067,饮料Air-X5,食品生鲜,饮料,139.06,177.71
P0068,饮料Plus-X5,食品生鲜,饮料,181.54,231.81
P0069,饮料Pro-C3,食品生鲜,饮料,13.6,16.32
P0070,饮料Max-Y1,食品生鲜,饮料,149.54,184.35
P0071,饮料S-B9,食品生鲜,饮料,26.82,34.64
P0072,饮料Air-B7,食品生鲜,饮料,12.03,14.5
P0073,生鲜水果Plus-C4,食品生鲜,生鲜水果,29.85,35.71
P0074,生鲜水果Lite-Y7,食品生鲜,生鲜水果,138.0,172.51
P0075,生鲜水果Pro-B3,食品生鲜,生鲜水果,194.9,246.05
P0076,生鲜水果S-C7,食品生鲜,生鲜水果,176.88,204.07
P0077,生鲜水果Pro-C3,食品生鲜,生鲜水果,161.44,206.58
P0078,生鲜水果Plus-X4,食品生鲜,生鲜水果,158.54,184.89
P0079,粮油调味Lite-C4,食品生鲜,粮油调味,43.92,56.56
P0080,粮油调味Max-C5,食品生鲜,粮油调味,48.47,60.54
P0081,粮油调味Lite-C9,食品生鲜,粮油调味,173.55,224.75
P0082,粮油调味Air-C1,食品生鲜,粮油调味,82.94,107.59
P0083,粮油调味Pro-Y5,食品生鲜,粮油调味,27.49,35.61
P0084,粮油调味Lite-C7,食品生鲜,粮油调味,12.46,15.44
P0085,乳制品Max-Y4,食品生鲜,乳制品,123.21,151.14
P0086,乳制品Plus-Y9,食品生鲜,乳制品,54.67,68.68
P0087,乳制品S-B6,食品生鲜,乳制品,138.94,179.38
P0088,乳制品Lite-Y6,食品生鲜,乳制品,89.1,115.15
P0089,乳制品Lite-Y5,食品生鲜,乳制品,134.36,157.03
P0090,乳制品S-C9,食品生鲜,乳制品,135.04,161.9
P0091,冰箱Max-B5,家用电器,冰箱,596.42,686.15
P0092,冰箱Lite-C4,家用电器,冰箱,1683.69,2020.51
P0093,冰箱S-C8,家用电器,冰箱,1776.56,2077.86
P0094,冰箱Air-X3,家用电器,冰箱,1822.97,2153.06
P0095,冰箱S-Y6,家用电器,冰箱,2669.52,3027.38
P0096,冰箱Pro-C4,家用电器,冰箱,464.21,563.66
P0097,洗衣机Plus-B8,家用电器,洗衣机,3245.6,3627.55
P0098,洗衣机Max-X4,家用电器,洗衣机,2483.97,2961.44
P0099,洗衣机Max-B3,家用电器,洗衣机,2901.55,3325.4
P0100,洗衣机Plus-X4,家用电器,洗衣机,2658.63,2926.26
P0101,洗衣机Air-X1,家用电器,洗衣机,785.96,954.91
P0102,洗衣机Plus-X3,家用电器,洗衣机,2273.88,2751.61
P0103,空调Air-Y6,家用电器,空调,3225.52,3806.47
P0104,空调Air-Y7,家用电器,空调,3805.15,4592.71
P0105,空调Pro-X8,家用电器,空调,3339.22,3892.68
P0106,空调S-C9,家用电器,空调,1110.85,1254.89
P0107,空调Max-A5,家用电器,空调,1989.93,2246.05
P0108,空调Air-A3,家用电器,空调,1014.52,1156.86
P0109,小家电Pro-B2,家用电器,小家电,688.24,788.7
P0110,小家电Max-X1,家用电器,小家电,1717.98,1957.99
P0111,小家电Air-A7,家用电器,小家电,906.65,1043.03
P0112,小家电Lite-X7,家用电器,小家电,1960.22,2378.0
P0113,小家电Air-B8,家用电器,小家电,2199.06,2612.83
P0114,小家电Plus-X6,家用电器,小家电,955.74,1101.3
P0115,厨房电器S-B8,家用电器,厨房电器,2708.61,3238.89
P0116,厨房电器Air-A7,家用电器,厨房电器,3686.21,4488.65
P0117,厨房电器Plus-X3,家用电器,厨房电器,2408.38,2840.83
P0118,厨房电器Lite-X6,家用电器,厨房电器,3480.72,3904.7
P0119,厨房电器Max-C7,家用电器,厨房电器,925.48,1054.33
P0120,厨房电器Plus-Y1,家用电器,厨房电器,1083.86,1202.9
P0121,护肤品S-A1,美妆个护,护肤品,599.95,892.42
P0122,护肤品Pro-A3,美妆个护,护肤品,456.23,747.03
P0123,护肤品Plus-Y4,美妆个护,护肤品,154.55,234.67
P0124,护肤品Lite-B2,美妆个护,护肤品,287.04,420.24
P0125,护肤品Lite-A1,美妆个护,护肤品,470.01,677.26
P0126,护肤品Max-X4,美妆个护,护肤品,558.4,862.14
P0127,彩妆S-B2,美妆个护,彩妆,59.46,93.51
P0128,彩妆S-Y2,美妆个护,彩妆,422.86,623.89
P0129,彩妆Plus-C9,美妆个护,彩妆,480.79,741.13
P0130,彩妆Air-C1,美妆个护,彩妆,265.6,396.45
P0131,彩妆Plus-X6,美妆个护,彩妆,512.0,822.06
P0132,彩妆S-B7,美妆个护,彩妆,386.82,621.69
P0133,洗发护发S-C9,美妆个护,洗发护发,118.04,180.65
P0134,洗发护发S-Y5,美妆个护,洗发护发,468.17,709.85
P0135,洗发护发Plus-C8,美妆个护,洗发护发,203.55,297.46
P0136,洗发护发Air-X6,美妆个护,洗发护发,157.66,239.04
P0137,洗发护发Pro-X4,美妆个护,洗发护发,31.79,51.27
P0138,洗发护发Lite-Y5,美妆个护,洗发护发,222.57,325.97
P0139,口腔护理Pro-A4,美妆个护,口腔护理,340.14,520.13
P0140,口腔护理Pro-X8,美妆个护,口腔护理,436.24,664.02
P0141,口腔护理Lite-B7,美妆个护,口腔护理,277.18,389.25
P0142,口腔护理Air-C8,美妆个护,口腔护理,419.7,619.71
P0143,口腔护理S-Y6,美妆个护,口腔护理,338.78,503.41
P0144,口腔护理Lite-C4,美妆个护,口腔护理,220.81,334.18
P0145,香水Plus-Y3,美妆个护,香水,85.58,123.93
P0146,香水Lite-Y9,美妆个护,香水,127.05,201.33
P0147,香水Pro-C4,美妆个护,香水,364.12,599.02
P0148,香水S-Y3,美妆个护,香水,226.12,333.66
P0149,香水Air-C3,美妆个护,香水,175.47,288.4
P0150,香水Plus-A5,美妆个护,香水,388.15,616.46
P0151,运动鞋Pro-A5,运动户外,运动鞋,720.01,963.44
P0152,运动鞋Plus-X8,运动户外,运动鞋,1413.36,1901.74
P0153,运动鞋Plus-B3,运动户外,运动鞋,138.9,191.11
P0154,运动鞋Plus-B2,运动户外,运动鞋,1222.38,1760.01
P0155,运动鞋Air-Y4,运动户外,运动鞋,850.37,1133.74
P0156,运动鞋Max-C7,运动户外,运动鞋,1170.27,1551.87
P0157,运动服Air-A4,运动户外,运动服,478.91,658.12
P0158,运动服Plus-B4,运动户外,运动服,949.51,1237.14
P0159,运动服Plus-X8,运动户外,运动服,285.51,361.17
P0160,运动服Plus-B5,运动户外,运动服,1043.38,1402.28
P0161,运动服Max-A4,运动户外,运动服,1069.23,1486.87
P0162,运动服S-Y4,运动户外,运动服,1388.15,1953.91
P0163,健身器材S-B5,运动户外,健身器材,654.95,890.02
P0164,健身器材Pro-C5,运动户外,健身器材,1245.15,1574.22
P0165,健身器材Lite-X5,运动户外,健身器材,675.56,907.78
P0166,健身器材Plus-Y1,运动户外,健身器材,765.69,1032.73
P0167,健身器材Air-C1,运动户外,健身器材,1337.45,1868.29
P0168,健身器材Air-Y1,运动户外,健身器材,164.25,236.91
P0169,户外装备Lite-Y1,运动户外,户外装备,1499.37,2075.81
P0170,户外装备Air-X5,运动户外,户外装备,1151.77,1480.07
P0171,户外装备S-X2,运动户外,户外装备,296.79,405.73
P0172,户外装备Lite-A3,运动户外,户外装备,720.92,960.03
P0173,户外装备Lite-X9,运动户外,户外装备,514.81,714.93
P0174,户外装备Lite-C2,运动户外,户外装备,83.94,106.4
P0175,骑行Air-A9,运动户外,骑行,1456.17,1937.92
P0176,骑行Air-C8,运动户外,骑行,709.11,894.07
P0177,骑行Pro-C9,运动户外,骑行,949.35,1330.99
P0178,骑行S-X2,运动户外,骑行,222.59,291.06
P0179,骑行Pro-B5,运动户外,骑行,72.44,99.68
P0180,骑行Plus-B2,运动户外,骑行,839.73,1142.41
